Part,Link,Price,,,,,,,,,
PCB (includes all components on pcb (red)),jlcpcb.com,80.27,,,,,,,,,
100nF Capacitor_0402,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.html?s_z=n_c307331,0.23,,,,,,,,,
4.7uF Capcitor_0402,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05A475MP5NRNC_C23733.html?s_z=n_c23733,0.25,,,,,,,,,
10nF Capacitor,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05B103KB5NNNC_C15195.html?s_z=n_c15195,0.14,,,,,,,,,
1uF Capcitor,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05A105KA5NQNC_C52923.html?s_z=n_c52923,0.31,,,,,,,,,
Diode (Sod-123),https://lcsc.com/product-detail/Switching-Diodes_hongjiacheng-1N4148W_C7420318.html?s_z=n_%2520C7420318,2.36,,,,,,,,,
500mA Fuse,https://lcsc.com/product-detail/Resettable-Fuses_BOURNS-MF-FSMF050X-2_C210357.html?s_z=n_c210357,0.72,,,,,,,,,
Resistor,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-0402WGF5101TCE_C25905.html?s_z=n_C25905,0.05,,,,,,,,,
usb-c port,https://lcsc.com/product-detail/USB-Connectors_Korean-Hroparts-Elec-TYPE-C-31-M-12_C165948.html?s_z=n_C165948,0.87,,,,,,,,,
button,https://lcsc.com/product-detail/Tactile-Switches_ALPSALPINE-SKQGABE010_C115351.html?s_z=n_C115351,0.53,,,,,,,,,
stm32f072cbt6,https://lcsc.com/product-detail/Microcontrollers-MCU-MPU-SOC_ST-STM32F072CBT6_C81720.html?s_z=n_C81720,1.51,,,,,,,,,
xc6206,https://lcsc.com/product-detail/Voltage-Regulators-Linear-Low-Drop-Out-LDO-Regulators_TOREX-XC6206P332MR-G_C5446.html?s_z=n_%2520C5446,0.52,,,,,,,,,
usblc6-2sc6,https://lcsc.com/product-detail/ESD-and-Surge-Protection-TVS-ESD_TECH-PUBLIC-USBLC6-2SC6_C2827654.html?s_z=n_C2827654,0.38,,,,,,,,,
Keycaps,https://www.aliexpress.com/item/1005004343814248.html?spm=a2g0o.productlist.main.1.2d65JPPzJPPzCD&algo_pvid=9126bc70-cf3d-41cf-8d3c-6c4c7f650df2&algo_exp_id=9126bc70-cf3d-41cf-8d3c-6c4c7f650df2-0&pdp_ext_f=%7B%22order%22%3A%227%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2119.98%219.99%21%21%2119.98%219.99%21%402103146c17533847055428953eed4c%2112000028836275502%21sea%21CA%214146042585%21X&curPageLogUid=iPet3AMcAadz&utparam-url=scene%3Asearch%7Cquery_from%3A,10,,,,,,,,,
